name,x1,y1,x2,y2
2h0cyub3dk.jpg,192,92,430,409
01dn9g3sq5.jpg,124,21,390,380
01egt59duw.jpg,177,68,459,431
01gjd4ve7o.jpg,206,74,423,405
01lptz4wcf.jpg,167,30,458,414
01rygxu96o.jpg,150,73,416,435
02asdjx7tl.jpg,160,31,437,416
02ihb5lqum.jpg,167,53,434,421
02k4xisjz5.jpg,150,39,431,419
02tlv4s5bz.jpg,201,79,406,351
02tob3i17w.jpg,141,18,417,402
03budk5n8j.jpg,172,76,387,372
03etnwflqa.jpg,159,-13,470,417
03gsl5qjv9.jpg,126,1,464,447
03guk8mh1i.jpg,191,87,444,412
03pvig8mk5.jpg,202,66,455,381
03vzjuimpo.jpg,170,134,413,437
03znrxcpla.jpg,178,72,415,395
05fizsy2ua.jpg,134,50,488,511
05qeuc9sdv.jpg,170,40,451,431
05v41aruwo.jpg,178,93,426,436
06aupwdx9n.jpg,197,78,470,436
06et4fvhy7.jpg,175,59,456,438
06fidbqn8s.jpg,133,69,436,453
07fsy2hqko.jpg,195,91,421,392
07hgv2xu1e.jpg,199,78,413,335
0a5je3opsb.jpg,61,3,393,455
0afqjcy3em.jpg,168,68,439,421
0auw64chk9.jpg,149,48,429,411
0avcb7dniz.jpg,164,62,434,427
0ayh8prczg.jpg,197,56,407,349
0b4xpia3re.jpg,204,115,404,373
0b7ih1dlqf.jpg,179,57,445,437
0bdg9hy2vi.jpg,192,93,420,392
0bju4og6ci.jpg,189,113,430,434
0bp3l85r71.jpg,205,133,390,375
0bzlgvs9f4.jpg,199,96,441,416
0c124xuk6j.jpg,188,104,400,383
0cn53vyjl4.jpg,118,74,399,482
0de2gr6kwx.jpg,207,101,431,422
0e7ty1upao.jpg,169,122,400,410
0ech3dfxz6.jpg,186,93,427,393
0f19qnhtc8.jpg,195,77,424,386
0f6izas5c2.jpg,142,83,425,431
0fb6t1v5zx.jpg,210,110,417,372
0fei1qlz7n.jpg,196,123,374,336
0fhiam7d3l.jpg,199,172,370,401
0fkio5zq8w.jpg,144,75,403,424
0fsz7jyclm.jpg,199,93,420,372
0ft8oxzibp.jpg,147,-3,446,409
0fv8hnb3iu.jpg,175,59,446,433
0g421p8qhf.jpg,16,-53,398,429
0giox9h78q.jpg,194,104,406,376
0gmubewvas.jpg,151,72,412,404
0gnw87tmrp.jpg,187,82,406,364
